epoch,loss,mae,mse
0,3223.385498046875,46.487159729003906,3223.385498046875
1,3166.264892578125,45.983943939208984,3166.264892578125
2,3093.26953125,45.389488220214844,3093.26953125
3,3089.56103515625,45.38682174682617,3089.56103515625
4,3064.63037109375,45.20466995239258,3064.63037109375
5,3029.460693359375,44.87849426269531,3029.460693359375
6,2994.259033203125,44.89259719848633,2994.259033203125
7,3021.193359375,44.78310775756836,3021.193359375
8,2963.83447265625,44.41277313232422,2963.83447265625
9,2982.94140625,44.4826545715332,2982.94140625
